,GDP,GDP_scaled
2022-04-17,25770.585178297828,93.78250850434641
2022-04-18,25776.08491109748,93.79081872550915
2022-04-19,25781.582607090008,93.79912586901008
2022-04-20,25787.078266275465,93.80742993484925
2022-04-21,25792.571888653736,93.81573092302652
2022-04-22,25798.063474224822,93.82402883354187
2022-04-23,25803.553022988723,93.8323236663953
2022-04-24,25809.040534945554,93.840615421587
2022-04-25,25814.52601009526,93.84890409911688
2022-04-26,25820.00944843772,93.85718969898474
2022-04-27,25825.49084997305,93.86547222119079
2022-04-28,25830.970214701316,93.87375166573509
2022-04-29,25836.447542622278,93.88202803261731
2022-04-30,25841.922833736113,93.89030132183768
2022-05-01,25847.39608804288,93.89857153339634
2022-05-02,25852.86730554246,93.90683866729307
2022-05-03,25858.336486234854,93.9151027235279
2022-05-04,25863.803630120005,93.92336370210072
2022-05-05,25869.268737198203,93.93162160301196
2022-05-06,25874.731807469158,93.93987642626121
2022-05-07,25880.192840932927,93.94812817184854
2022-05-08,25885.65183758951,93.95637683977398
2022-05-09,25891.108797439025,93.96462243003765
2022-05-10,25896.563720481412,93.97286494263952
2022-05-11,25902.016606716497,93.98110437757927
2022-05-12,25907.467456144514,93.98934073485731
2022-05-13,25912.916268765402,93.99757401447351
2022-05-14,25918.363044579164,94.00580421642789
2022-05-15,25923.807783585682,94.01403134072027
2022-05-16,25929.250485785014,94.02225538735071
2022-05-17,25934.691151177278,94.03047635631944
2022-05-18,25940.129779762414,94.03869424762632
2022-05-19,25945.566371540306,94.04690906127121
2022-05-20,25951.00092651107,94.05512079725429
2022-05-21,25956.43344467471,94.06332945557551
2022-05-22,25961.863926031278,94.07153503623502
2022-05-23,25967.292370580544,94.07973753923243
2022-05-24,25972.718778322625,94.08793696456792
2022-05-25,25978.143149257696,94.09613331224176
2022-05-26,25983.56548338558,94.10432658225369
2022-05-27,25988.98578070622,94.11251677460362
2022-05-28,25994.404041219736,94.12070388929172
2022-05-29,25999.82026492618,94.12888792631807
2022-05-30,26005.234451825498,94.13706888568262
2022-05-31,26010.646601917513,94.14524676738506
2022-06-01,26016.0567152024,94.15342157142567
2022-06-02,26021.46479168022,94.16159329780456
2022-06-03,26026.870831350854,94.16976194652152
2022-06-04,26032.274834214302,94.17792751757656
2022-06-05,26037.676800270565,94.1860900109697
2022-06-06,26043.07672951976,94.1942494267011
2022-06-07,26048.474621961825,94.20240576477067
2022-06-08,26053.87047759659,94.21055902517816
2022-06-09,26059.264296424284,94.2187092079239
2022-06-10,26064.656078444852,94.2268563130078
2022-06-11,26070.045823658293,94.2350003404299
2022-06-12,26075.43353206443,94.2431412901899
2022-06-13,26080.81920366356,94.25127916228824
2022-06-14,26086.20283845556,94.25941395672476
2022-06-15,26091.58443644026,94.2675456734992
2022-06-16,26096.96399761783,94.2756743126118
2022-06-17,26102.34152198833,94.28379987406267
2022-06-18,26107.717009551707,94.2919223578517
2022-06-19,26113.09046030778,94.30004176397865
2022-06-20,26118.461874256725,94.30815809244378
2022-06-21,26123.831251398602,94.31627134324717
2022-06-22,26129.19859173335,94.32438151638871
2022-06-23,26134.563895260857,94.33248861186827
2022-06-24,26139.927161981177,94.34059262968591
2022-06-25,26145.288391894428,94.3486935698418
2022-06-26,26150.64758500055,94.35679143233588
2022-06-27,26156.00474129943,94.36488621716796
2022-06-28,26161.359860791126,94.37297792433812
2022-06-29,26166.71294347581,94.38106655384662
2022-06-30,26172.063989353308,94.38915210569321
2022-07-01,26336.304,94.63732249177662
2022-07-02,26182.75997068663,94.40531397640048
2022-07-03,26188.10490614269,94.41339029526151
2022-07-04,26193.44780479156,94.4214635364606
2022-07-05,26198.78866663319,94.42953369999772
2022-07-06,26204.127491667692,94.437600785873
2022-07-07,26209.464279895066,94.44566479408647
2022-07-08,26214.799031315313,94.45372572463808
2022-07-09,26220.131745928375,94.4617835775278
2022-07-10,26225.462423734192,94.46983835275552
2022-07-11,26230.791064733,94.47789005032158
2022-07-12,26236.11766892468,94.4859386702258
2022-07-13,26241.442236309056,94.49398421246795
2022-07-14,26246.764766886306,94.50202667704826
2022-07-15,26252.085260656488,94.51006606396685
2022-07-16,26257.403717619483,94.51810237322351
2022-07-17,26262.720137775294,94.52613560481825
2022-07-18,26268.03452112392,94.5341657587511
2022-07-19,26273.346867665474,94.54219283502219
2022-07-20,26278.657177399902,94.55021683363145
2022-07-21,26283.96545032703,94.55823775457864
2022-07-22,26289.271686447086,94.56625559786409
2022-07-23,26294.575885760016,94.5742703634877
2022-07-24,26299.87804826582,94.58228205144948
2022-07-25,26305.17817396432,94.59029066174918
2022-07-26,26310.47626285575,94.59829619438713
2022-07-27,26315.772314940055,94.60629864936328
2022-07-28,26321.066330217232,94.61429802667757
2022-07-29,26326.358308687166,94.6222943263299
2022-07-30,26331.64825035003,94.63028754832044
2022-07-31,26336.936155205767,94.63827769264918
2022-08-01,26342.222023254202,94.64626475931584
2022-08-02,26347.50585449551,94.65424874832065
2022-08-03,26352.78764892975,94.66222965966374
2022-08-04,26358.06740655686,94.670207493345
2022-08-05,26363.345127376728,94.67818224936426
2022-08-06,26368.62081138941,94.68615392772159
2022-08-07,26373.894458595023,94.69412252841718
2022-08-08,26379.16606899351,94.70208805145097
2022-08-09,26384.43564258475,94.71005049682273
2022-08-10,26389.703179368807,94.71800986453259
2022-08-11,26394.968679345795,94.7259661545807
2022-08-12,26400.232142515655,94.733919366967
2022-08-13,26405.49356887827,94.7418695016913
2022-08-14,26410.75295843376,94.74981655875376
2022-08-15,26416.010311182123,94.7577605381544
2022-08-16,26421.265627123357,94.7657014398932
2022-08-17,26426.518906257348,94.77363926397001
2022-08-18,26431.77014858421,94.78157401038499
2022-08-19,26437.019354104006,94.78950567913823
2022-08-20,26442.266522816615,94.79743427022956
2022-08-21,26447.51165472198,94.80535978365889
2022-08-22,26452.75474982022,94.81328221942638
2022-08-23,26457.995808111387,94.82120157753215
2022-08-24,26463.23482959537,94.82911785797599
2022-08-25,26468.47181427211,94.83703106075782
2022-08-26,26473.706762141723,94.84494118587784
2022-08-27,26478.939673204266,94.85284823333612
2022-08-28,26484.170547459682,94.86075220313258
2022-08-29,26489.399384907796,94.86865309526695
2022-08-30,26494.626185548783,94.87655090973948
2022-08-31,26499.8509493827,94.88444564655026
2022-09-01,26505.07367640949,94.89233730569924
2022-09-02,26510.294366629038,94.90022588718621
2022-09-03,26515.5130200414,94.90811139101126
2022-09-04,26520.72963664669,94.91599381717458
2022-09-05,26525.944216444856,94.92387316567607
2022-09-06,26531.156759435777,94.93174943651555
2022-09-07,26536.367265619512,94.93962262969312
2022-09-08,26541.57573499618,94.94749274520895
2022-09-09,26546.782167565718,94.95535978306296
2022-09-10,26551.986563328013,94.96322374325496
2022-09-11,26557.188922283123,94.97108462578504
2022-09-12,26562.389244431222,94.97894243065349
2022-09-13,26567.587529772136,94.98679715786
